source;dest;0
Istanbul;Istanbul;0
Istanbul;Ankara;453
Istanbul;Antalya;716
Istanbul;Bursa;244
Istanbul;Denizli;649
Istanbul;Izmir;564
Istanbul;Nevsehir;726
Istanbul;Mugla;792
Ankara;Ankara;0
Ankara;Antalya;543
Ankara;Bursa;385
Ankara;Denizli;477
Ankara;Istanbul;453
Ankara;Izmir;584
Ankara;Nevsehir;275
Ankara;Mugla;619
Antalya;Antalya;0
Antalya;Ankara;543
Antalya;Bursa;544
Antalya;Denizli;221
Antalya;Istanbul;716
Antalya;Izmir;449
Antalya;Nevsehir;537
Antalya;Mugla;310
Bursa;Bursa;0
Bursa;Antalya;544
Bursa;Istanbul;263
Bursa;Izmir;604
Bursa;Ankara;190
Bursa;Denizli;617
Bursa;Nevsehir;464
Bursa;Mugla;759
Denizli;Denizli;0
Denizli;Ankara;477
Denizli;Antalya;221
Denizli;Istanbul;649
Denizli;Izmir;228
Denizli;Bursa;435
Denizli;Nevsehir;628
Denizli;Mugla;145
Mugla;Mugla;0
Mugla;Antalya;310
Mugla;Bursa;540
Mugla;Denizli;145
Mugla;Izmir;227
Mugla;Nevsehir;770
Mugla;Istanbul;792
Mugla;Ankara;619
Izmir;Izmir;0
Izmir;Ankara;584
Izmir;Antalya;449
Izmir;Bursa;390
Izmir;Denizli;228
Izmir;Istanbul;564
Izmir;Nevsehir;773
Izmir;Mugla;227
Nevsehir;Nevsehir;0
Nevsehir;Istanbul;726
Nevsehir;Bursa;648
Nevsehir;Antalya;537
Nevsehir;Ankara;275
Nevsehir;Mugla;770
Nevsehir;Izmir;773
Nevsehir;Denizli;628
